,0,1.00E-05,3.16E-05,0.0001,0.0003162,0.001,0.003162,0.01,0.03162,0.1,0.3162
1.00E-06,0.034419,0.045219,0.075723,0.069495,0.095082,0.063708,0.06675,0.112021,0.125876,0.143247,0.161279
3.16E-07,0.020019,0.011188,0.025286,0.02623,0.036335,0.054115,0.082516,0.136527,0.133875,0.155429,0.163432
1.00E-07,-0.001583,0.01324,0.007489,0.013056,0.044717,0.059213,0.134619,0.15625,0.167078,0.166143,0.177302
3.16E-08,0.003804,-0.006893,0.001556,0.017876,0.040011,0.086397,0.129326,0.157587,0.166269,0.173515,0.159146
1.00E-08,-0.002904,0.010238,0.007832,0.022235,0.040737,0.090542,0.120396,0.167687,0.17162,0.179336,0.154049
3.16E-09,0.007121,0.013159,0.004562,0.006639,0.030673,0.057863,0.111663,0.175691,0.170035,0.164921,0.184361
1.00E-09,0.004684,0.001173,0.017577,0.019421,0.037685,0.101077,0.13336,0.189083,0.192034,0.165235,0.184358
0,0.006139,0.016829,0.004635,0.006557,0.036277,0.094207,0.120061,0.151925,0.165281,0.163538,0.160294
,,,,,,,,,,,
Inflation:,0.179233886,,,,,,,,,,
